scan, BCID, sigma_vis, sigma_vis_err, lumi_sp, lumi_sp_err, Sigma_x, Sigma_y 
1 1 4.84836909036 0.00894290911624 2143.47638418 6.20917091217 0.0255012067649 0.0327430752331
1 241 4.83733194566 0.0101638620722 2087.92135604 7.04107905122 0.0258918250884 0.0331071731834
1 2881 4.85055272949 0.00791499160138 2227.04342868 5.77530363441 0.0247497211276 0.0324713171608
1 3121 4.81960814191 0.00866432769118 2157.12542828 6.28488964631 0.0250814994668 0.0330803431931
2 1 4.87284141428 0.00912509245081 2115.00838683 6.23408006764 0.0258612030056 0.0327218676903
2 241 4.86824379224 0.0102586716224 2071.87404221 6.94823125406 0.0261413528065 0.0330451322119
2 2881 4.87120328447 0.00808653675891 2202.39984935 5.82022341046 0.025038385682 0.0324561056207
2 3121 4.87145153975 0.00885468766065 2112.3784737 6.12465434671 0.0255060893457 0.0332187504245
3 1 4.93555585541 0.00949228928171 2000.11032511 6.0917842589 0.0267982188759 0.0333917376675
3 241 4.93723694316 0.0108013910373 1963.159234 6.81032074007 0.0270495389533 0.0337041599574
3 2881 4.92315083006 0.00869722230511 2066.60026206 5.91166699603 0.0262338586722 0.0330126393062
3 3121 4.94488281843 0.0092206105962 1977.39157982 5.88871973944 0.0266972912427 0.033903069644
4 1 4.79303544996 0.0209569644931 116.632605721 0.79149612774 0.121537703059 0.126260614525
4 721 4.78806880951 0.017285698515 123.70151399 0.694991462789 0.119043974085 0.121539227005
4 1821 4.80981491747 0.020374172785 115.977086901 0.76970759326 0.120829460529 0.12771851758
5 1 4.96149769529 0.0217837805763 109.247770555 0.711626344064 0.127053909746 0.128943152721
5 721 4.89992807046 0.0181110652269 119.173922557 0.675034926258 0.122366749199 0.122730992039
5 1821 4.90026986932 0.0215191359477 109.808359987 0.747569386349 0.123964412033 0.131482051396
6 1 4.89867008095 0.0217311944483 111.17707805 0.7411005897 0.124936819811 0.128852603718
6 721 4.87564097501 0.0187128635811 120.60189829 0.703925540665 0.121168793562 0.122476840383
6 1821 4.89745846646 0.021871093212 109.374000801 0.743595464024 0.124803104363 0.131117124087
8 1 4.84543967979 0.0271576490467 106.817816606 0.931521061267 0.127371900959 0.131547189693
8 721 4.83108322799 0.0243055036278 112.682720081 0.834547482701 0.124087242107 0.128001319696
8 1821 4.78429407552 0.0311837205341 113.310699225 1.14378125867 0.121199695308 0.130324616009
10 1 4.91236613365 0.0156614800896 106.139298026 0.497762925484 0.124922000243 0.134984456124
10 2361 4.90560808762 0.0163316596808 120.175424363 0.517720507073 0.119058711691 0.125089846137
10 2881 4.91250333353 0.015648103417 105.510362812 0.401479690141 0.126956151321 0.133613406582
11 1 4.94800783223 0.016078458198 101.383352084 0.480732093875 0.130119500837 0.135671887347
11 2361 4.91986558758 0.0165757446265 112.792039305 0.499239818577 0.125326735471 0.126612541189
11 2881 4.95223653996 0.0160552218521 100.374082706 0.387286138838 0.131881530625 0.135205180786
14 1 4.96766405283 0.0167774008404 94.4761681767 0.466938531325 0.137468047338 0.137808138764
14 2361 4.99825659542 0.0173358433933 103.046358302 0.478724330401 0.133233670679 0.130362373825
14 2881 5.00749124496 0.0168718187774 94.1173834481 0.377886434025 0.138454913451 0.137347476404
15 1 4.9905977276 0.0181995383753 111.069542986 0.522918267948 0.123679025904 0.130289032935
15 2361 4.94985333659 0.0180738698777 110.434801587 0.438941840482 0.12372089746 0.130993541767
15 2881 4.95844115492 0.0182359814125 115.553664561 0.504674672535 0.121630460436 0.127342340548
