scan, BCID, sigma_vis, sigma_vis_err, lumi_sp, lumi_sp_err, Sigma_x, Sigma_y 
1 1 2.48388188379 0.0064651743208 2169.204426 9.08499494697 0.0253562907726 0.0325396364352
1 241 2.49332364755 0.00716623119614 2103.79857053 9.74151992724 0.0257408642841 0.0330500119632
1 2881 2.4983502116 0.00552815594578 2233.25618692 7.87663473583 0.0247498910885 0.0323807619249
1 3121 2.49596404236 0.00594016644714 2138.21693256 8.13977470557 0.0252450524333 0.0331566664273
2 1 2.50910579346 0.00655689242407 2138.50915723 8.92177699142 0.0258046498256 0.0324332012791
2 241 2.50399416158 0.00737594726673 2078.04813264 9.81065876076 0.0260776075704 0.0330274887533
2 2881 2.51569907941 0.0057542900867 2195.92910944 7.93152048101 0.0250442105782 0.0325441729298
2 3121 2.51058891148 0.0062449541523 2116.33895543 8.30294685765 0.0254505496084 0.0332289417216
3 1 2.54821191296 0.00665314500113 1998.06869522 7.96099098049 0.0268572063586 0.0333524429444
3 241 2.55090433075 0.00759811433598 1968.26861976 9.19381623952 0.0270341803241 0.0336357663257
3 2881 2.55397246853 0.00603600980359 2047.18112988 7.62983357107 0.0262911362641 0.0332531870856
3 3121 2.55566337429 0.00637287639874 1982.42684866 7.71869007847 0.0266421439565 0.0338869561026
4 1 2.48487674494 0.0147279995152 117.008575373 1.08064549196 0.121056720453 0.126354963203
4 721 2.48296948419 0.0120545915905 122.851399787 0.925000820994 0.119186736013 0.122233674025
4 1821 2.4761755702 0.0148199584149 116.283698923 1.09247971964 0.120395128621 0.127841291242
5 1 2.57102598982 0.016353881375 111.00742215 1.11071651295 0.127010439035 0.126942622709
5 721 2.52266545857 0.0142611377286 120.512016423 1.09667783868 0.121765256746 0.121967791366
5 1821 2.54990459471 0.0155907777259 109.384822379 1.01749809137 0.124546011861 0.131374782564
6 1 2.53338873091 0.0154966932571 111.478348878 1.03973512992 0.125350118377 0.128080680227
6 721 2.54308035053 0.0139128500566 119.67933953 1.00961397437 0.12070727184 0.123892861393
6 1821 2.55628877476 0.0162444240823 109.027357833 1.0305810147 0.126273647747 0.130002195744
8 1 2.47080817722 0.0194553003729 110.046328952 1.37497130969 0.126360636597 0.128709776717
8 721 2.50361112346 0.0173047345589 113.15305966 1.17879221173 0.125021270059 0.126516944072
8 1821 2.48853255978 0.0213043711497 113.952080949 1.47383165555 0.121684134866 0.129075163034
10 1 2.49756134265 0.0100150890734 105.709778932 0.600616689733 0.125068531881 0.13537413201
10 2361 2.50072437254 0.0102780324284 119.280403324 0.641502974706 0.119233728857 0.125843467549
10 2881 2.49182313028 0.00999998307272 105.858294301 0.498144598882 0.126849112547 0.13328662662
11 1 2.53766593777 0.0103164820344 100.417921344 0.580519455857 0.130147202094 0.136947099436
11 2361 2.51332492892 0.0104744801933 112.416413443 0.615472249035 0.125581562681 0.126777823985
11 2881 2.52302333965 0.0102747801261 100.202013686 0.477334592039 0.13255830315 0.134745886531
14 1 2.53565303899 0.0106454556391 94.1726165772 0.552906034766 0.137787540075 0.137931772571
14 2361 2.5588230698 0.0108634809144 101.831314723 0.578548173911 0.134640295366 0.130539665333
14 2881 2.5461192442 0.0106795534468 94.4918277775 0.465925241858 0.138086835564 0.137167863593
15 1 2.54073188584 0.0115332550284 111.576046005 0.618220740385 0.123016285973 0.130396316568
15 2361 2.54211019904 0.0115437913221 109.65765764 0.540815845029 0.124202342861 0.131410524464
15 2881 2.5294217773 0.011502009503 114.97849863 0.612345968724 0.122315475769 0.127262619781
