scan, BCID, sigma_vis, sigma_vis_err, lumi_sp, lumi_sp_err, Sigma_x, Sigma_y 
1 1 23.4793013955 0.022109730143 2153.77894369 3.4864887034 0.0254826563315 0.0326101711048
1 241 23.4203203798 0.0241725002999 2103.8713529 3.69659195956 0.0257115362196 0.0330865660647
1 2881 23.4500420468 0.0208876720001 2250.69815248 3.61077425457 0.0246170085928 0.0323032612584
1 3121 23.408743602 0.0225941978986 2155.63610868 3.73745095284 0.0251279611473 0.0330419903388
2 1 23.5966969611 0.0227562046854 2132.28141972 3.53726857969 0.0257377880992 0.0326124298541
2 241 23.5594945178 0.0239979798269 2083.51848447 3.61729611348 0.0259851289637 0.0330580069943
2 2881 23.5869844588 0.0209845355676 2219.44330654 3.5139688163 0.0249267012788 0.0323511733299
2 3121 23.5253622675 0.0216046815126 2132.46186243 3.48231649232 0.0254027709857 0.0330397335103
3 1 23.9447826262 0.0228628454969 2006.37441575 3.19955931866 0.0267397418514 0.0333602817615
3 241 23.9298598797 0.0249136267167 1970.56033985 3.40537885307 0.027049294908 0.0335778755301
3 2881 23.9303939482 0.0215906269461 2068.08845876 3.2483852147 0.0260938522281 0.0331658851093
3 3121 23.9413205288 0.0224096582372 1995.45904955 3.1895088394 0.0265716260523 0.0337549873792
4 1 22.3786520447 0.0433399909289 117.410041494 0.354385532913 0.121647863246 0.125310994043
4 721 22.2538315919 0.0360195759393 123.843100607 0.313531941768 0.118653879864 0.121799397793
4 1821 22.4302265838 0.0442039111292 116.304721307 0.36475347588 0.120862321952 0.127324102377
5 1 22.9849283376 0.0443453963664 110.409881882 0.314020592647 0.12614716402 0.128503058643
5 721 22.8893442003 0.0399461236031 118.88371232 0.326156176385 0.121917494435 0.123483950409
5 1821 22.9934020195 0.0468127242705 109.492173843 0.347608891266 0.124934606646 0.130837750746
6 1 22.8172235582 0.0467888895351 110.96765054 0.351719856801 0.12569471772 0.12831737999
6 721 22.8439019299 0.0398776976792 119.482089185 0.324721489082 0.120915179333 0.123884014237
6 1821 22.8184719654 0.0460703184601 109.75408376 0.344835513818 0.124589832801 0.130886727679
8 1 22.5002263481 0.0561354891273 107.532628874 0.419051429308 0.127028096182 0.131026412169
8 721 22.4525409603 0.0529410867877 112.213746889 0.4100254619 0.124500368291 0.128109755231
8 1821 22.3230587136 0.0657290584989 113.386611344 0.526357101169 0.122279585655 0.129087195881
10 1 22.3712230123 0.029512269833 106.237417596 0.198468602276 0.124704439866 0.13509506362
10 2361 22.2782194438 0.029919114394 119.650287384 0.21086109647 0.118943154367 0.125760919396
10 2881 22.4033913062 0.029545269297 105.684277792 0.16183537166 0.126788051597 0.133570388665
11 1 22.6517091446 0.0301103736913 100.499088118 0.18698668269 0.130506902736 0.136459349757
11 2361 22.6163362327 0.030457748598 112.130004434 0.197759652742 0.125326074856 0.12736075479
11 2881 22.5674385779 0.0300398214318 100.857799386 0.154959505106 0.131808393186 0.134631395584
14 1 22.7480334781 0.0312945646316 94.082235883 0.178807972649 0.137529282974 0.138323539331
14 2361 22.8559221855 0.0317092574847 102.451212772 0.189555366438 0.133984785859 0.1303846037
14 2881 22.7257662621 0.0312724075682 94.2685362323 0.150745552348 0.138606570163 0.136977211543
15 1 22.9101324605 0.0342001413497 110.506264932 0.202978291459 0.123912422939 0.130706490008
15 2361 22.7746530801 0.0340879287554 110.323588094 0.174485466267 0.123871390707 0.130966285457
15 2881 22.8448318341 0.0340595791274 115.064831983 0.19861841021 0.12147127377 0.128050921541
