scan, BCID, sigma_vis, sigma_vis_err, lumi_sp, lumi_sp_err, Sigma_x, Sigma_y 
1 1 22.5465211439 0.0219065445792 2156.20227524 3.58744543053 0.0254821837494 0.0325741249944
1 241 22.5166544674 0.0234935520324 2100.8855917 3.71400624493 0.0257727594178 0.0330548795686
1 2881 22.5391409131 0.020024458349 2250.64148215 3.60727218163 0.0246248681917 0.0322937640466
1 3121 22.4789305998 0.0206336308795 2159.43137577 3.48217936736 0.0250725150471 0.0330568596344
2 1 22.7069641002 0.0215902718357 2124.93869003 3.49485536355 0.0258115701655 0.0326315777951
2 241 22.6096527257 0.023628381394 2083.84696246 3.74291256627 0.0259571335336 0.0330884443247
2 2881 22.6796897201 0.0203320715037 2218.8404993 3.50238781474 0.0249261208073 0.0323607159778
2 3121 22.6101561231 0.0216185898837 2130.1815161 3.53954118227 0.0254040442019 0.0330734446644
3 1 23.0233457762 0.0217398334157 2001.59405591 3.10584738634 0.0268128930399 0.0333487241326
3 241 22.9645780002 0.0247235450813 1968.91373612 3.55052934303 0.0270666194196 0.0335844465869
3 2881 22.9796078842 0.0208752494144 2063.67110754 3.23290655077 0.0261424365249 0.0331751087723
3 3121 22.9667947243 0.0220807945913 1994.43472616 3.27022248758 0.0265827190473 0.0337582304071
4 1 19.8769488436 0.0413952196853 116.904507347 0.379758800779 0.121433035646 0.126075527412
4 721 19.755873038 0.0337531700327 123.774579949 0.330694195945 0.119037378371 0.12147421097
4 1821 19.8016106501 0.0413789259327 116.687488301 0.388478334074 0.120610043067 0.127171893376
5 1 20.349400938 0.043483947702 110.82456568 0.364250265823 0.126079041064 0.128091398287
5 721 20.301319762 0.0374362836555 118.822333855 0.34316033472 0.121752513254 0.123715150667
5 1821 20.3210522592 0.0440364758687 109.600796469 0.369399659573 0.125018260501 0.130620619601
6 1 20.1819354912 0.0440354608254 111.000798686 0.374685107904 0.125397476356 0.128583132449
6 721 20.2224800959 0.0377272998833 120.036937585 0.350513054226 0.120631784437 0.123601073399
6 1821 20.1658199295 0.0441995299799 109.824269371 0.376090877875 0.124443235944 0.130957170535
8 1 19.9226158267 0.051189966229 107.487310003 0.432803852104 0.127058276696 0.131050519413
8 721 19.8828510752 0.0498355011526 112.300848285 0.436026275098 0.124472802419 0.128038741636
8 1821 19.8392609189 0.0613460916096 112.296401826 0.541032099756 0.122710926467 0.129882256612
10 1 19.7531006907 0.0276841600384 106.603877763 0.211364650449 0.124386418415 0.134974875638
10 2361 19.7571866587 0.0281699288457 119.86234606 0.225145387014 0.118759201779 0.125732878348
10 2881 19.7981692954 0.0277283580498 105.956809485 0.172114625028 0.126599529681 0.133425222803
11 1 20.1206165039 0.0282894389786 100.400708023 0.198248799219 0.130331131643 0.136777279042
11 2361 19.9916838429 0.0285126359399 112.155324008 0.21070742027 0.125240506427 0.127418999929
11 2881 20.0133730598 0.0281924776757 100.886147401 0.164071502266 0.131590937812 0.134815982732
14 1 20.1588092636 0.029444967432 94.5525957727 0.190978621319 0.136898201293 0.138269917414
14 2361 20.2046386722 0.029806369215 102.604744777 0.20267371986 0.133848221885 0.130322334488
14 2881 20.1101302429 0.0293932738789 94.3430457324 0.160688525407 0.138675794609 0.136800708228
15 1 20.1777979954 0.0319684864462 110.769209642 0.216438328732 0.12389898129 0.13041036457
15 2361 20.1586400465 0.031963073076 110.333534191 0.185631194989 0.124140960816 0.130670113851
15 2881 20.2113083277 0.0319388120179 114.841643266 0.210000938701 0.121716695282 0.128041086585
