scan, BCID, sigma_vis, sigma_vis_err, lumi_sp, lumi_sp_err, Sigma_x, Sigma_y 
1 1 36.5231006488 0.0307608761874 2152.21524566 3.34424599321 0.0254921356641 0.0326217291089
1 241 36.4246539408 0.0330334877184 2101.31724107 3.4371838427 0.0257746579761 0.0330456551673
1 2881 36.4537052236 0.0299588614021 2247.20423254 3.68910248727 0.0246567881339 0.0323012890357
1 3121 36.3509891992 0.0309980942789 2159.96733351 3.5302231705 0.0250842249914 0.0330332292179
2 1 36.7220713168 0.0314773814482 2128.33032025 3.35084338205 0.025774893138 0.0326259372158
2 241 36.6000783386 0.0338649321533 2083.06854568 3.46045491395 0.025961557242 0.0330951688662
2 2881 36.6657051125 0.0301242882015 2222.78298646 3.60114413304 0.0249034358467 0.0323327443325
2 3121 36.5700571469 0.0320460758477 2135.26378608 3.52808475743 0.0253741345618 0.0330336169404
3 1 37.2388958341 0.0307392461467 2004.32001748 2.89374283492 0.0267757478688 0.0333495691693
3 241 37.1711507288 0.0332174275881 1969.88685726 3.05067472525 0.0270563114038 0.0335806447295
3 2881 37.2024062512 0.0303933012076 2064.81657131 3.18454067548 0.0261268327166 0.0331765070521
3 3121 37.2028673925 0.0314241877457 1996.57073686 3.09944500103 0.0265609732434 0.0337497232316
4 1 34.1397388933 0.0533023181519 117.136065907 0.281168283621 0.121655655258 0.125596045485
4 721 33.9548904575 0.0447898363387 123.741713342 0.260145009215 0.118854680021 0.12169324989
4 1821 34.1401917294 0.0540854125428 116.495451442 0.294405596343 0.120827782859 0.127151979726
5 1 35.0194875534 0.0585713173322 110.653311676 0.287973908044 0.126044316118 0.128324984095
5 721 34.8938028099 0.0496940600944 118.915316271 0.268429477001 0.121844254363 0.123525338217
5 1821 35.0069850575 0.0585683409643 109.597251348 0.287357587813 0.124940266179 0.130706387697
6 1 34.7845213607 0.0583163088222 110.810604528 0.288055043404 0.125647358747 0.128547671331
6 721 34.7958823061 0.0499738834781 119.862343818 0.270506739387 0.1206974865 0.123713732426
6 1821 34.7828010631 0.0583542978252 109.747947447 0.285351617692 0.124504986423 0.130983246248
8 1 34.2690434216 0.0698209209414 107.629773213 0.34613977736 0.126915706805 0.131024075382
8 721 34.2160016896 0.0662616479658 112.27191936 0.339193285435 0.124387129049 0.128159944365
8 1821 34.1284374901 0.0810786279913 112.695321618 0.422326753181 0.122567507407 0.129573938614
10 1 34.2008871167 0.0368864203752 106.409227097 0.161946015817 0.124571225193 0.135021173106
10 2361 34.1448067898 0.0373802430625 119.599204255 0.1722628987 0.118988061907 0.125767150341
10 2881 34.2523734052 0.0369324170441 105.816646989 0.13230718137 0.12672048137 0.133474435142
11 1 34.7311337963 0.0377253709965 100.477917065 0.15219642386 0.130435223218 0.136563108048
11 2361 34.5956263152 0.0380368415611 112.199033372 0.161679388276 0.125268502766 0.127340895463
11 2881 34.5880327373 0.0376261780483 100.808466999 0.126570151902 0.131685353729 0.134823133446
14 1 34.8295880107 0.0390968830829 94.323663361 0.145749900593 0.137230784634 0.138269596485
14 2361 34.972799136 0.0395504291256 102.503104509 0.155202139989 0.1339575546 0.130345088599
14 2881 34.7801866008 0.0390588708014 94.3314382295 0.123222522978 0.138628473756 0.136864244274
15 1 35.0050112263 0.0426357921176 110.665609561 0.165718750199 0.123909836327 0.130521013582
15 2361 34.8571246488 0.0425485584115 110.32102065 0.142345084412 0.123999287489 0.130834247461
15 2881 34.9576123541 0.0424800240861 114.96512597 0.161617411055 0.121523322599 0.12810708431
