Scan	BCID	sigma_vis	sigma_vis_err	lumi_sp	lumi_sp_err	Sigma_X	Sigma_Y	mu_vis_max_xscan	mu_vis_max_err_xscan	xscan_offset_[#mum]	mu_vis_max_yscan	mu_vis_max_err_yscan	yscan_offset_[#mum]
1	1	207.107935673	0.817993197476	2.14278676807	0.00769646152768	25.5889682892	32.6412791462	3.93856991785e-21	1.45585020515e-23	-1.0000000475	3.9171153702e-21	1.47031255341e-23	-1.0000000475
1	241	206.487424172	0.950876079609	2.09840653172	0.00883190021392	25.7437098822	33.1312742627	3.8573069165e-21	1.56744931099e-23	-1.0000000475	3.82763673801e-21	1.58116383468e-23	-1.0000000475
1	2881	206.922987714	0.905150183846	2.23290044407	0.00919619088648	24.7589666503	32.3740495147	4.11071930005e-21	1.32750390466e-23	-1.0000000475	4.11007029729e-21	1.34007593095e-23	-1.0000000475
1	3121	205.669315261	0.756658599229	2.1530754973	0.0071258051719	25.1514980731	33.0503288735	3.92459611647e-21	1.35935742715e-23	-1.0000000475	3.9101729108e-21	1.37226021858e-23	-1.0000000475
1	all	206.546915705	0.430487171774	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2	1	206.971400506	0.673567456531	2.13722828959	0.00587581695827	25.7198434478	32.559645415	3.9270000785e-21	1.4894918701e-23	-1.0000000475	3.9147058936e-21	1.48960522222e-23	-1.0000000475
2	241	207.152680131	1.08385330655	2.07731299177	0.0100966594298	26.0574282726	33.0647629382	3.82029911734e-21	1.59157306319e-23	-1.0000000475	3.83010447986e-21	1.59611698693e-23	-1.0000000475
2	2881	207.788045842	1.48539324267	2.21247401598	0.015434706343	24.9138091291	32.4698729841	4.10955685161e-21	1.34293454801e-23	-1.0000000475	4.04926201211e-21	1.34409678051e-23	-1.0000000475
2	3121	207.207638734	0.836795048677	2.11973728053	0.00778304262005	25.5213859842	33.0835883026	3.91069385199e-21	1.39113198523e-23	-1.0000000475	3.85646067763e-21	1.3864254565e-23	-1.0000000475
2	all	207.279941303	0.532391429512	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	1	210.462363849	0.97630368868	1.99617253599	0.00853655427094	26.8824004905	33.352836811	3.70101372431e-21	1.47848649277e-23	-1.0000000475	3.71117464458e-21	1.48805184671e-23	-1.0000000475
3	241	211.156481258	1.06205812065	1.95936306806	0.00907497481356	27.1968954123	33.5864925436	3.59701817081e-21	1.59810178786e-23	-1.0000000475	3.66913221255e-21	1.61515717587e-23	-1.0000000475
3	2881	211.327730462	0.800613434267	2.0485463194	0.007049065006	26.3200194911	33.1945592699	3.79426345126e-21	1.33659235848e-23	-1.0000000475	3.81256373484e-21	1.34802710342e-23	-1.0000000475
3	3121	210.616313304	0.672602969811	1.9884641859	0.00536800099917	26.6275337425	33.80260609	3.70563747879e-21	1.38803165747e-23	-1.0000000475	3.6900097149e-21	1.39588399843e-23	-1.0000000475
3	all	210.890722218	0.445429074762	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
4	1	204.6568911	0.649266517069	0.117070699105	0.000311682633877	121.764368564	125.553975536	2.13320845577e-22	8.26967697137e-25	0.199999994948	2.13653619703e-22	8.415553044e-25	0.199999994948
